design_name,design_sku,variant_name,variant_sku,description
Silver Weave,ET101,Silver Weave,ET101,This natural wallcovering features subtle texture in a versatile hue.
Chrome Weave,ET102,Chrome Weave,ET102,This natural wallcovering features subtle texture in a versatile hue.
Gold Weave,ET103,Gold Weave,ET103,This natural wallcovering features subtle texture in a versatile hue.
Copper Weave,ET104,Copper Weave,ET104,This natural wallcovering features subtle texture in a versatile hue.
Grey Textile,ET105,Grey Textile,ET105,This natural wallcovering features a subtle woven texture in a versatile hue.
Bronze Textile,ET106,Bronze Textile,ET106,This natural wallcovering features a subtle woven texture in a versatile hue.
Brown Natural Weave,ET107,Brown Natural Weave,ET107,This natural wallcovering features a subtle woven texture in a versatile hue.
Beige Natural Weave,ET108,Beige Natural Weave,ET108,This natural wallcovering features a subtle woven texture in a versatile hue.
Dove Natural Weave,ET109,Dove Natural Weave,ET109,This natural wallcovering features a subtle woven texture in a versatile hue.
Taupe Natural Weave,ET110,Taupe Natural Weave,ET110,This natural wallcovering features a subtle woven texture in a versatile hue.
Cream Natural Weave,ET111,Cream Natural Weave,ET111,"This lovely, natural wallcovering features a subtle woven texture in a versatile hue."
Brown and Blonde Grasscloth,ET112,Brown and Blonde Grasscloth,ET112,This hand woven grasscloth features varying shades of natural browns and blondes.
Cream Grasscloth,ET113,Cream Grasscloth,ET113,"This simple, versatile grasscloth features natural materials in a lovely cream hue."
Blonde Grasscloth,ET114,Blonde Grasscloth,ET114,This versatile grasscloth features natural materials in a lovely blonde hue.
Subtle Blonde Grasscloth,ET115,Subtle Blonde Grasscloth,ET115,This subtle grasscloth features tightly woven blonde fibers.
Silver Flax Grasscloth,ET116,Silver Flax Grasscloth,ET116,This lovely grasscloth features finely woven fibers atop a silvery ground.
Brown Flax Grasscloth,ET117,Brown Flax Grasscloth,ET117,This lovely grasscloth features finely woven fibers atop a rich brown ground.
Blonde Reed Grasscloth,ET118,Blonde Reed Grasscloth,ET118,Natural reed fibers are handwoven together with cotton thread to create this simple yet lovely grasscloth.
Sand and Silver Grasscloth,ET119,Sand and Silver Grasscloth,ET119,This grasscloth features stratigically woven natural fibers atop a silver ground creating an interesting graphic effect.
Brown and Silver Grasscloth,ET120,Brown and Silver Grasscloth,ET120,This grasscloth features stratigically woven natural fibers atop a silver ground creating an interesting graphic effect.
Naples Yellow Reed Grasscloth,ET121,Naples Yellow Reed Grasscloth,ET121,Natural reed fibers are handwoven together with cotton thread to create this simple yet lovely grasscloth.
